Idade,Instisfeito,ViagemTrabalho,DistanciaMoradia,Educacao,Satisfacao,Genero,EnvolvimentoTrabalho,NivelTrabalho,SatisfacaoTrabalho,StatusCivil,SalarioMensal,TrabalhosAnteriores,TaxaPerformance,SatisfacaoColegas,Workbalance,AnosEmpresa,AnosMesmaPosicao,AnosUltimaPromocao,AnosComMemoGerente
41,Sim,Viaja_raramente,1,2,2,Feminino,3,2,4,Solteiro,5993,8,3,1,1,6,4,0,5
49,Nao,Viaja_frequentemente,8,1,3,Masculino,2,2,2,Casado,5130,1,4,4,3,10,7,1,7
37,Sim,Viaja_raramente,2,2,4,Masculino,2,1,3,Solteiro,2090,6,3,2,3,0,0,0,0
33,Nao,Viaja_frequentemente,3,4,4,Feminino,3,1,3,Casado,2909,1,3,3,3,8,7,3,0
27,Nao,Viaja_raramente,2,1,1,Masculino,3,1,2,Casado,3468,9,3,4,3,2,2,2,2
32,Nao,Viaja_frequentemente,2,2,4,Masculino,3,1,4,Solteiro,3068,0,3,3,2,7,7,3,6
59,Nao,Viaja_raramente,3,3,3,Feminino,4,1,1,Casado,2670,4,4,1,2,1,0,0,0
30,Nao,Viaja_raramente,24,1,4,Masculino,3,1,3,Divorciado,2693,1,4,2,3,1,0,0,0
38,Nao,Viaja_frequentemente,23,3,4,Masculino,2,3,3,Solteiro,9526,0,4,2,3,9,7,1,8
36,Nao,Viaja_raramente,27,3,3,Masculino,3,2,3,Casado,5237,6,3,2,2,7,7,7,7
35,Nao,Viaja_raramente,16,3,1,Masculino,4,1,2,Casado,2426,0,3,3,3,5,4,0,3
29,Nao,Viaja_raramente,15,2,4,Feminino,2,2,3,Solteiro,4193,0,3,4,3,9,5,0,8
31,Nao,Viaja_raramente,26,1,1,Masculino,3,1,3,Divorciado,2911,1,3,4,2,5,2,4,3
34,Nao,Viaja_raramente,19,2,2,Masculino,3,1,4,Divorciado,2661,0,3,3,3,2,2,1,2
28,Sim,Viaja_raramente,24,3,3,Masculino,2,1,3,Solteiro,2028,5,3,2,3,4,2,0,3
29,Nao,Viaja_raramente,21,4,2,Feminino,4,3,1,Divorciado,9980,1,3,3,3,10,9,8,8
32,Nao,Viaja_raramente,5,2,1,Masculino,4,1,2,Divorciado,3298,0,3,4,2,6,2,0,5
22,Nao,Nao_viaja,16,2,4,Masculino,4,1,4,Divorciado,2935,1,3,2,2,1,0,0,0
53,Nao,Viaja_raramente,2,4,1,Feminino,2,4,4,Casado,15427,2,3,3,3,25,8,3,7
38,Nao,Viaja_raramente,2,3,4,Masculino,3,1,4,Solteiro,3944,5,3,3,3,3,2,1,2
24,Nao,Nao_viaja,11,2,1,Feminino,4,2,3,Divorciado,4011,0,3,4,2,4,2,1,3
36,Sim,Viaja_raramente,9,4,3,Masculino,2,1,1,Solteiro,3407,7,4,2,3,5,3,0,3
34,Nao,Viaja_raramente,7,4,1,Feminino,3,3,2,Solteiro,11994,0,3,3,3,12,6,2,11
21,Nao,Viaja_raramente,15,2,3,Masculino,3,1,4,Solteiro,1232,1,3,4,3,0,0,0,0
34,Sim,Viaja_raramente,6,1,2,Masculino,3,1,1,Solteiro,2960,2,3,3,3,4,2,1,3
53,Nao,Viaja_raramente,5,3,3,Feminino,3,5,3,Divorciado,19094,4,3,4,2,14,13,4,8
32,Sim,Viaja_frequentemente,16,1,2,Feminino,1,1,1,Solteiro,3919,1,4,2,3,10,2,6,7
42,Nao,Viaja_raramente,8,4,3,Masculino,3,2,2,Casado,6825,0,3,4,3,9,7,4,2
44,Nao,Viaja_raramente,7,4,1,Feminino,2,3,4,Casado,10248,3,3,4,3,22,6,5,17
46,Nao,Viaja_raramente,2,4,2,Feminino,3,5,1,Solteiro,18947,3,3,4,2,2,2,2,1
33,Nao,Viaja_raramente,2,3,3,Masculino,3,1,4,Solteiro,2496,4,3,4,3,1,1,0,0
44,Nao,Viaja_raramente,10,4,4,Masculino,3,2,4,Casado,6465,2,3,4,4,4,2,1,3
30,Nao,Viaja_raramente,9,2,4,Masculino,2,1,3,Solteiro,2206,1,3,1,3,10,0,1,8
39,Sim,Viaja_raramente,5,3,4,Masculino,3,2,4,Casado,2086,3,3,3,4,1,0,0,0
24,Sim,Viaja_raramente,1,3,2,Masculino,3,1,4,Casado,2293,2,3,1,2,2,0,2,0
43,Nao,Viaja_raramente,2,2,4,Feminino,4,1,3,Divorciado,2645,1,3,4,2,5,3,1,4
50,Sim,Viaja_raramente,3,2,1,Masculino,2,1,3,Casado,2683,1,3,3,3,3,2,0,2
35,Nao,Viaja_raramente,2,3,4,Feminino,3,1,4,Casado,2014,1,3,1,3,2,2,2,2
36,Nao,Viaja_raramente,5,4,2,Feminino,2,1,1,Casado,3419,9,3,4,4,1,1,0,0
33,Nao,Viaja_frequentemente,1,3,3,Feminino,4,2,1,Casado,5376,2,3,1,3,5,3,1,3
35,Nao,Viaja_raramente,4,2,3,Masculino,3,1,4,Divorciado,1951,1,3,3,3,1,0,0,0
27,Nao,Viaja_raramente,2,4,4,Feminino,3,1,1,Divorciado,2341,1,3,4,3,1,0,0,0
26,Sim,Viaja_raramente,25,3,1,Masculino,1,1,3,Solteiro,2293,1,3,3,2,1,0,0,1
27,Nao,Viaja_frequentemente,8,3,4,Masculino,3,3,3,Solteiro,8726,1,3,4,3,9,8,1,7
30,Nao,Viaja_frequentemente,1,2,3,Feminino,3,2,4,Solteiro,4011,1,4,4,3,12,8,3,7
41,Sim,Viaja_raramente,12,3,2,Feminino,3,5,3,Casado,19545,1,3,4,3,22,15,15,8
34,Nao,Nao_viaja,23,4,2,Masculino,3,2,3,Solteiro,4568,0,4,3,3,9,5,8,7
37,Nao,Viaja_raramente,19,2,2,Masculino,3,1,2,Casado,3022,4,4,1,3,1,0,0,0
46,Nao,Viaja_frequentemente,5,4,1,Masculino,3,2,4,Solteiro,5772,4,4,3,3,9,6,0,8
35,Nao,Viaja_raramente,8,1,4,Masculino,4,1,4,Casado,2269,1,3,4,3,1,0,0,1
48,Sim,Viaja_raramente,1,2,1,Masculino,2,3,3,Solteiro,5381,9,3,4,3,1,0,0,0
28,Sim,Viaja_raramente,5,4,3,Masculino,3,1,3,Solteiro,3441,1,3,3,2,2,2,2,2
44,Nao,Viaja_raramente,1,5,2,Feminino,3,2,1,Divorciado,5454,5,4,3,2,4,3,1,3
35,Nao,Nao_viaja,11,2,3,Masculino,2,3,1,Casado,9884,2,3,3,3,4,0,2,3
26,Nao,Viaja_raramente,23,3,3,Feminino,2,2,4,Casado,4157,7,3,3,2,2,2,0,0
33,Nao,Viaja_frequentemente,1,2,1,Feminino,3,3,4,Solteiro,13458,1,3,3,3,15,14,8,12
35,Nao,Viaja_frequentemente,18,5,2,Masculino,3,3,1,Casado,9069,1,4,4,2,9,8,1,8
35,Nao,Viaja_raramente,23,4,3,Feminino,3,1,1,Casado,4014,3,3,3,3,2,2,2,2
31,Nao,Viaja_raramente,7,4,4,Masculino,3,2,4,Divorciado,5915,3,4,4,2,7,7,1,7
37,Nao,Viaja_raramente,1,4,1,Masculino,2,2,3,Divorciado,5993,1,3,3,4,7,5,0,7
32,Nao,Viaja_raramente,1,3,1,Masculino,3,2,4,Casado,6162,1,4,2,3,9,8,7,8
38,Nao,Viaja_frequentemente,29,5,4,Feminino,3,2,4,Solteiro,2406,1,3,4,3,10,3,9,9
50,Nao,Viaja_raramente,7,2,2,Feminino,2,5,3,Divorciado,18740,5,3,4,2,27,3,13,8
59,Nao,Viaja_raramente,25,3,1,Feminino,3,3,1,Solteiro,7637,7,3,4,2,21,16,7,9
36,Nao,Viaja_raramente,8,3,3,Feminino,3,3,3,Divorciado,10096,1,3,2,3,17,14,12,8
55,Nao,Viaja_raramente,8,3,4,Feminino,3,4,3,Divorciado,14756,2,3,3,3,5,0,0,2
36,Nao,Viaja_frequentemente,11,3,2,Masculino,2,2,2,Solteiro,6499,1,3,3,3,6,5,0,3
45,Nao,Viaja_raramente,7,3,2,Masculino,3,3,1,Divorciado,9724,2,3,3,3,1,0,0,0
35,Nao,Viaja_frequentemente,1,3,2,Masculino,3,1,1,Casado,2194,4,3,4,2,3,2,1,2
36,Sim,Viaja_raramente,9,3,4,Masculino,2,1,3,Casado,3388,0,3,1,2,1,0,0,0
59,Nao,Viaja_frequentemente,1,1,1,Feminino,2,2,3,Solteiro,5473,7,3,4,2,4,3,1,3
29,Nao,Viaja_raramente,2,3,3,Masculino,3,1,2,Casado,2703,0,4,4,3,5,4,0,4
31,Nao,Viaja_raramente,1,4,3,Masculino,3,1,2,Solteiro,2501,1,3,2,3,1,1,1,0
32,Nao,Viaja_raramente,1,3,2,Masculino,3,2,2,Casado,6220,1,3,2,3,10,4,0,9
36,Nao,Viaja_raramente,6,3,2,Feminino,4,1,4,Casado,3038,3,3,2,3,1,0,0,0
31,Nao,Viaja_raramente,8,4,3,Feminino,3,2,4,Solteiro,4424,1,4,4,3,11,7,1,8
35,Nao,Viaja_raramente,1,4,3,Masculino,2,2,1,Solteiro,4312,0,3,2,3,15,13,2,8
45,Nao,Viaja_raramente,6,4,4,Masculino,3,3,1,Casado,13245,4,3,2,4,0,0,0,0
37,Nao,Viaja_raramente,7,4,1,Masculino,3,3,3,Solteiro,13664,4,3,1,4,5,2,0,2
46,Nao,Viaja_raramente,5,2,2,Masculino,3,2,2,Divorciado,5021,8,4,4,3,4,2,0,2
30,Nao,Viaja_raramente,1,1,4,Masculino,2,2,4,Casado,5126,1,3,3,2,10,8,3,0
35,Nao,Viaja_raramente,1,3,2,Masculino,2,1,3,Solteiro,2859,1,3,1,3,6,4,0,4
55,Nao,Viaja_raramente,1,2,1,Masculino,3,3,4,Casado,10239,3,3,4,3,1,0,1,0
38,Nao,Nao_viaja,6,3,2,Feminino,1,2,4,Divorciado,5329,7,3,4,3,13,11,1,9
34,Nao,Viaja_raramente,1,2,1,Masculino,3,2,2,Casado,4325,1,3,3,3,5,2,1,3
56,Nao,Viaja_raramente,7,3,4,Masculino,1,3,4,Solteiro,7260,4,3,1,2,6,4,0,2
23,Nao,Viaja_raramente,2,1,3,Masculino,3,1,1,Divorciado,2322,3,3,3,3,0,0,0,0
51,Nao,Viaja_raramente,9,4,4,Masculino,3,1,4,Casado,2075,3,4,2,3,4,2,0,3
30,Nao,Viaja_raramente,2,3,3,Masculino,2,2,4,Casado,4152,1,3,1,3,11,10,10,8
